,country,lat-long
783,Hollywood,26.011280-80.142967
784,Stafford,38.422932-77.407997
785,Chelmsford,42.598713-71.363625
786,Pekin,40.568459-89.643028
787,Albany,42.652580-73.756233
788,San Antonio,29.424349-98.491142
789,Uvalde,29.209684-99.786171
790,Detroit,42.331429-83.045753
791,Carthage,32.732635-89.536179
792,Plankinton,43.714790-98.484451
793,Alliance,40.915337-81.105934
794,Concord,35.408752-80.579514
795,Trenton,40.217052-74.742935
796,Columbus,33.495674-88.427261
797,Lakewood,47.171764-122.518456
798,Yuba City,39.136986-121.607841
799,Brighton,39.039055-90.140678
800,Massillon,40.787819-81.519585
801,Atlantic Highlands,40.413757-74.041245
802,Decorah,43.303307-91.785706
803,Southfield,42.475136-83.221275
804,San Francisco,37.733795-122.446747
805,Richfield,38.769287-112.088409
806,Anderson,30.487400-95.987228
